Event,Gender,Class,Gold_Country,Silver_Country,Bronze_Country,Score
Alpine Skiing,Mens,Downhill,Jamacia,Jamacia,Jamacia,0
Alpine Skiing,Mens,Super-G,Switzerland,Italy,Austria,4
Alpine Skiing,Mens,Giant Slalom,Switzerland,Norway,France,2
Alpine Skiing,Mens,Slalom,United States,France,Switzerland,2
Alpine Skiing,Mens,Team Combined,Switzerland,United States,Italy,4
Alpine Skiing,Womens,Downhill,Italy,Switzerland,United States,4
Alpine Skiing,Womens,Super-G,Switzerland,Italy,United States,2
Alpine Skiing,Womens,Giant Slalom,Switzerland,Sweden,Switzerland,4
Alpine Skiing,Womens,Slalom,United States,Switzerland,Sweden,
Alpine Skiing,Womens,Team Combined,United States,Switzerland,Italy,2
Biathalon,Mixed,4x6km Relay,Norway,Germany,France,4
Biathalon,Mens,20km Individual,Norway,Germany,France,6
Biathalon,Womens,15km Individual,Norway,Germany,France,2
Biathalon,Mens,10km Sprint,Norway,Germany,France,4
Biathalon,Womens,7.5km Sprint,Norway,Germany,France,8
Biathalon,Mens,12.5km Pursuit,Norway,Germany,France,6
Biathalon,Womens,10km Pursuit,Norway,Germany,France,2
Biathalon,Mens,4x7.5km Relay,Norway,Germany,France,
Biathalon,Womens,4x6km Relay,Norway,Germany,France,
Biathalon,Mens,15km Mass Start,Norway,Germany,France,
Biathalon,Womens,12.5km Mass Start,Norway,Germany,France,
Bobsleigh,Mens,4 person,Germany,Switzerland,United States,
Bobsleigh,Mens,2 person,Germany,Switzerland,United States,
Bobsleigh,Womens,2 person,Germany,Switzerland,United States,
Bobsleigh,Womens,Monobob,Germany,Switzerland,United States,6
Cross Country Skiing,Womens,10km + 10km Skiathlon,Jamacia,Jamacia,Jamacia,0
Cross Country Skiing,Mens,10km + 10km Skiathlon,Norway,Sweden,Finland,4
Cross Country Skiing,Womens,Sprint Classic,Norway,Sweden,Finland,4
Cross Country Skiing,Mens,Sprint Classic,Norway,Sweden,Finland,4
Cross Country Skiing,Womens,10km Interval Start Free,Norway,Sweden,Finland,4
Cross Country Skiing,Mens,10km Interval Start Free,Norway,Sweden,Finland,4
Cross Country Skiing,Womens,4x7.5km Relay,Norway,Sweden,Finland,20
Cross Country Skiing,Mens,4x7.5km Relay,Norway,Sweden,Finland,4
Cross Country Skiing,Womens,Team Sprint,Norway,Sweden,Finland,
Cross Country Skiing,Mens,Team Sprint,Norway,Sweden,Finland,
Cross Country Skiing,Womens,50km Mass Start Classic,Norway,Sweden,Finland,
Cross Country Skiing,Mens,50km Mass Start Classic,Norway,Sweden,Finland,
Curling,Mens,,Canada,Great Britain,Sweden,
Curling,Womens,,Canada,Great Britain,Sweden,
Curling,Mixed,Doubles,Canada,Great Britain,Sweden,2
Figure Skating,Mens,Singles,Japan,United States,France,2
Figure Skating,Womens,Singles,Japan,United States,South Korea,
Figure Skating,Mixed,Pairs,Japan,Italy,Germany,
Figure Skating,Mixed,Ice Dance,United States,Canada,France,6
Figure Skating,Mixed,Team,United States,Japan,Canada,8
Freestyle Skiing,Womens,Freeski Slopestyle,Canada,United States,France,2
Freestyle Skiing,Mens,Freeski Slopestyle,United States,Canada,Switzerland,2
Freestyle Skiing,Womens,Moguls,United States,Canada,Australia,4
Freestyle Skiing,Mens,Moguls,Canada,Japan,United States,4
Freestyle Skiing,Womens,Dual Moguls,United States,Canada,Australia,4
Freestyle Skiing,Mens,Dual Moguls,Canada,United States,Japan,6
Freestyle Skiing,Womens,Freeski Big Air,United States,Canada,Switzerland,2
Freestyle Skiing,Mens,Freeski Big Air,United States,Canada,Japan,
Freestyle Skiing,Womens,Aerials,China,Australia,United States,
Freestyle Skiing,Mens,Aerials,China,United States,Canada,
Freestyle Skiing,Womens,Freeski Halfpipe,United States,China,Canada,
Freestyle Skiing,Mens,Freeski Halfpipe,United States,Canada,Switzerland,
Freestyle Skiing,Womens,Ski Cross,Canada,Switzerland,France,
Freestyle Skiing,Mens,Ski Cross,Canada,France,Switzerland,
Freestyle Skiing,Mixed,Aerials,China,United States,Canada,
Ice Hockey,Mens,,Canada,United States,Finland,
Ice Hockey,Womens,,Canada,United States,Finland,
Luge,Mens,Singles,Germany,Austria,Latvia,8
Luge,Mens,Doubles,Germany,Austria,Italy,8
Luge,Womens,Singles,Germany,Austria,United States,8
Luge,Womens,Doubles,Germany,Austria,Italy,6
Luge,Mixed,Team Relay,Germany,Austria,Italy,20
