Full scoring log, read results/guess/points as: MEDAL/RESULT/GUESS(POINTS)
Dan: Scored 0 from [biathalon, mens, 4x7.5km relay]: G/France/United States(0), S/Norway/Canada(0), B/Sweden/Finland(0), BONUS(0)
Dan: Scored 0 from [bobsleigh, mens, 2 person]: G/Germany/Jamacia(0), S/Germany/Estonia(0), B/Germany/Bosnia and Herzegovina(0), BONUS(0)
Dan: Scored 4 from [freestyle skiing, mens, freeski big air]: G/Norway/Canada(0), S/United States/United States(4), B/Austria/Sweden(0), BONUS(0)
Dan: Scored 0 from [nordic combined, mens, individual large hill]: G/Norway/Canada(0), S/Austria/United States(0), B/Finland/Great Britain(0), BONUS(0)
Dan: Scored 8 from [speed skating, mens, team pursuit]: G/Italy/Canada(0), S/United States/United States(4), B/China/China(4), BONUS(0)
Dan: Scored 4 from [speed skating, womens, team pursuit]: G/Canada/Canada(4), S/Netherlands/United States(0), B/Japan/Venezuela(0), BONUS(0)
Brinton: Scored 8 from [biathalon, mens, 4x7.5km relay]: G/France/Norway(2), S/Norway/France(2), B/Sweden/Sweden(4), BONUS(0)
Brinton: Scored 4 from [bobsleigh, mens, 2 person]: G/Germany/Germany(4), S/Germany/United States(0), B/Germany/Switzerland(0), BONUS(0)
Brinton: Scored 2 from [freestyle skiing, mens, freeski big air]: G/Norway/United States(2), S/United States/Canada(0), B/Austria/Japan(0), BONUS(0)
Brinton: Scored 6 from [nordic combined, mens, individual large hill]: G/Norway/Norway(4), S/Austria/Germany(0), B/Finland/Austria(2), BONUS(0)
Brinton: Scored 4 from [speed skating, mens, team pursuit]: G/Italy/Netherlands(0), S/United States/United States(4), B/China/Norway(0), BONUS(0)
Brinton: Scored 8 from [speed skating, womens, team pursuit]: G/Canada/Canada(4), S/Netherlands/Japan(2), B/Japan/Netherlands(2), BONUS(0)
Aidan: Scored 8 from [biathalon, mens, 4x7.5km relay]: G/France/France(4), S/Norway/Norway(4), B/Sweden/Norway(0), BONUS(0)
Aidan: Scored 4 from [bobsleigh, mens, 2 person]: G/Germany/Germany(4), S/Germany/Great Britain(0), B/Germany/United States(0), BONUS(0)
Aidan: Scored 6 from [freestyle skiing, mens, freeski big air]: G/Norway/United States(0), S/United States/United States(4), B/Austria/Norway(2), BONUS(0)
Aidan: Scored 8 from [nordic combined, mens, individual large hill]: G/Norway/Norway(4), S/Austria/Austria(4), B/Finland/Austria(0), BONUS(0)
Aidan: Scored 2 from [speed skating, mens, team pursuit]: G/Italy/United States(2), S/United States/Norway(0), B/China/Poland(0), BONUS(0)
Aidan: Scored 2 from [speed skating, womens, team pursuit]: G/Canada/Netherlands(2), S/Netherlands/United States(0), B/Japan/Norway(0), BONUS(0)
Nick: Scored 8 from [biathalon, mens, 4x7.5km relay]: G/France/Norway(2), S/Norway/France(2), B/Sweden/Sweden(4), BONUS(0)
Nick: Scored 4 from [bobsleigh, mens, 2 person]: G/Germany/Germany(4), S/Germany/Switzerland(0), B/Germany/United States(0), BONUS(0)
Nick: Scored 4 from [freestyle skiing, mens, freeski big air]: G/Norway/New Zealand(0), S/United States/United States(4), B/Austria/Canada(0), BONUS(0)
Nick: Scored 6 from [nordic combined, mens, individual large hill]: G/Norway/Germany(0), S/Austria/Austria(4), B/Finland/Norway(2), BONUS(0)
Nick: Scored 2 from [speed skating, mens, team pursuit]: G/Italy/Netherlands(0), S/United States/Norway(0), B/China/United States(2), BONUS(0)
Nick: Scored 6 from [speed skating, womens, team pursuit]: G/Canada/Netherlands(2), S/Netherlands/Norway(0), B/Japan/Japan(4), BONUS(0)
Yang: Scored 4 from [biathalon, mens, 4x7.5km relay]: G/France/Norway(2), S/Norway/Germany(0), B/Sweden/France(2), BONUS(0)
Yang: Scored 4 from [bobsleigh, mens, 2 person]: G/Germany/Germany(4), S/Germany/United States(0), B/Germany/Switzerland(0), BONUS(0)
Yang: Scored 4 from [freestyle skiing, mens, freeski big air]: G/Norway/United States(2), S/United States/Switzerland(0), B/Austria/Norway(2), BONUS(0)
Yang: Scored 6 from [nordic combined, mens, individual large hill]: G/Norway/Norway(4), S/Austria/Germany(0), B/Finland/Austria(2), BONUS(0)
Yang: Scored 2 from [speed skating, mens, team pursuit]: G/Italy/Netherlands(0), S/United States/Norway(0), B/China/United States(2), BONUS(0)
Yang: Scored 6 from [speed skating, womens, team pursuit]: G/Canada/Netherlands(2), S/Netherlands/Japan(2), B/Japan/Canada(2), BONUS(0)
Riley: Scored 4 from [biathalon, mens, 4x7.5km relay]: G/France/Norway(2), S/Norway/Germany(0), B/Sweden/France(2), BONUS(0)
Riley: Scored 4 from [bobsleigh, mens, 2 person]: G/Germany/Germany(4), S/Germany/Switzerland(0), B/Germany/United States(0), BONUS(0)
Riley: Scored 2 from [freestyle skiing, mens, freeski big air]: G/Norway/United States(2), S/United States/Canada(0), B/Austria/Japan(0), BONUS(0)
Riley: Scored 6 from [nordic combined, mens, individual large hill]: G/Norway/Norway(4), S/Austria/Germany(0), B/Finland/Austria(2), BONUS(0)
Riley: Scored 4 from [speed skating, mens, team pursuit]: G/Italy/Netherlands(0), S/United States/Canada(0), B/China/China(4), BONUS(0)
Riley: Scored 4 from [speed skating, womens, team pursuit]: G/Canada/Netherlands(2), S/Netherlands/Canada(2), B/Japan/China(0), BONUS(0)
Chip: Scored 8 from [biathalon, mens, 4x7.5km relay]: G/France/France(4), S/Norway/Norway(4), B/Sweden/Germany(0), BONUS(0)
Chip: Scored 4 from [bobsleigh, mens, 2 person]: G/Germany/Germany(4), S/Germany/United States(0), B/Germany/Jamacia(0), BONUS(0)
Chip: Scored 2 from [freestyle skiing, mens, freeski big air]: G/Norway/United States(2), S/United States/New Zealand(0), B/Austria/Italy(0), BONUS(0)
Chip: Scored 8 from [nordic combined, mens, individual large hill]: G/Norway/Norway(4), S/Austria/Austria(4), B/Finland/Germany(0), BONUS(0)
Chip: Scored 8 from [speed skating, mens, team pursuit]: G/Italy/Canada(0), S/United States/United States(4), B/China/China(4), BONUS(0)
Chip: Scored 8 from [speed skating, womens, team pursuit]: G/Canada/Netherlands(2), S/Netherlands/Canada(2), B/Japan/Japan(4), BONUS(0)
Will: Scored 4 from [biathalon, mens, 4x7.5km relay]: G/France/Norway(2), S/Norway/France(2), B/Sweden/Switzerland(0), BONUS(0)
Will: Scored 20 from [bobsleigh, mens, 2 person]: G/Germany/Germany(4), S/Germany/Germany(4), B/Germany/Germany(4), BONUS(8)
Will: Scored 6 from [freestyle skiing, mens, freeski big air]: G/Norway/Austria(2), S/United States/United States(4), B/Austria/Sweden(0), BONUS(0)
Will: Scored 6 from [nordic combined, mens, individual large hill]: G/Norway/Norway(4), S/Austria/Germany(0), B/Finland/Austria(2), BONUS(0)
Will: Scored 2 from [speed skating, mens, team pursuit]: G/Italy/Norway(0), S/United States/China(2), B/China/Sweden(0), BONUS(0)
