Event,Gender,Class,Gold_Country,Silver_Country,Bronze_Country,Score
Alpine Skiing,Mens,Downhill,United States,Canada,Sweden,0
Alpine Skiing,Mens,Super-G,Canada,United States,Austria,4
Alpine Skiing,Mens,Giant Slalom,Canada,United States,Austria,0
Alpine Skiing,Mens,Slalom,Canada,Denmark,United States,0
Alpine Skiing,Mens,Team Combined,Canada,United States,Sweden,0
Alpine Skiing,Womens,Downhill,Sweden,Canada,Sweden,0
Alpine Skiing,Womens,Super-G,Canada,United States,Sweden,0
Alpine Skiing,Womens,Giant Slalom,United States,Canada,Sweden,4
Alpine Skiing,Womens,Slalom,United States,Canada,Sweden,8
Alpine Skiing,Womens,Team Combined,United States,Canada,Finland,2
Biathalon,Mixed,4x6km Relay,United States,Canada,Finland,0
Biathalon,Mens,20km Individual,United States,Canada,Finland,0
Biathalon,Womens,15km Individual,United States,Canada,Finland,0
Biathalon,Mens,10km Sprint,United States,Canada,Finland,0
Biathalon,Womens,7.5km Sprint,United States,Canada,Finland,0
Biathalon,Mens,12.5km Pursuit,United States,Canada,Finland,0
Biathalon,Womens,10km Pursuit,United States,Canada,Finland,4
Biathalon,Mens,4x7.5km Relay,United States,Canada,Finland,0
Biathalon,Womens,4x6km Relay,United States,Canada,Finland,0
Biathalon,Mens,15km Mass Start,United States,Canada,Finland,
Biathalon,Womens,12.5km Mass Start,United States,Canada,Finland,
Bobsleigh,Mens,4 person,Jamacia,Estonia,Bosnia and Herzegovina,
Bobsleigh,Mens,2 person,Jamacia,Estonia,Bosnia and Herzegovina,0
Bobsleigh,Womens,2 person,Jamacia,Estonia,Bosnia and Herzegovina,
Bobsleigh,Womens,Monobob,Jamacia,Estonia,Bosnia and Herzegovina,0
Cross Country Skiing,Womens,10km + 10km Skiathlon,Norway,Canada,Denmark,2
Cross Country Skiing,Mens,10km + 10km Skiathlon,Norway,Canada,Denmark,4
Cross Country Skiing,Womens,Sprint Classic,Norway,Canada,Denmark,0
Cross Country Skiing,Mens,Sprint Classic,Norway,Canada,Denmark,4
Cross Country Skiing,Womens,10km Interval Start Free,Norway,Canada,Denmark,0
Cross Country Skiing,Mens,10km Interval Start Free,Norway,Canada,Denmark,4
Cross Country Skiing,Womens,4x7.5km Relay,Norway,Canada,Denmark,4
Cross Country Skiing,Mens,4x7.5km Relay,Norway,Canada,Denmark,4
Cross Country Skiing,Womens,Team Sprint,Norway,Canada,Denmark,0
Cross Country Skiing,Mens,Team Sprint,Norway,Canada,Denmark,4
Cross Country Skiing,Womens,50km Mass Start Classic,Norway,Canada,Denmark,
Cross Country Skiing,Mens,50km Mass Start Classic,Norway,Canada,Denmark,
Curling,Mens,,Canada,United States,Australia,
Curling,Womens,,Canada,United States,Australia,
Curling,Mixed,Doubles,Canada,United States,Australia,4
Figure Skating,Mens,Singles,United States,Finland,Canada,0
Figure Skating,Womens,Singles,United States,Finland,Canada,
Figure Skating,Mixed,Pairs,United States,Finland,Canada,
Figure Skating,Mixed,Ice Dance,United States,Finland,Canada,6
Figure Skating,Mixed,Team,United States,Finland,Canada,4
