Event,Gender,Class,Gold_Country,Silver_Country,Bronze_Country,Score
Alpine Skiing,Mens,Downhill,Switzerland,Austria,Canada,4
Alpine Skiing,Mens,Super-G,Switzerland,Austria,Norway,
Alpine Skiing,Mens,Giant Slalom,Switzerland,Austria,Norway,
Alpine Skiing,Mens,Slalom,Austria,Norway,Switzerland,6
Alpine Skiing,Mens,Team Combined,Switzerland,Austria,France,
Alpine Skiing,Womens,Downhill,Switzerland,Austria,Italy,4
Alpine Skiing,Womens,Super-G,Switzerland,Austria,Italy,
Alpine Skiing,Womens,Giant Slalom,United States,Switzerland,Sweden,
Alpine Skiing,Womens,Slalom,United States,Switzerland,Austria,
Alpine Skiing,Womens,Team Combined,Switzerland,Austria,United States,
Biathalon,Mixed,4x6km Relay,Norway,France,Germany,6
Biathalon,Mens,20km Individual,Norway,France,Sweden,
Biathalon,Womens,15km Individual,Norway,France,Sweden,
Biathalon,Mens,10km Sprint,Norway,France,Germany,
Biathalon,Womens,7.5km Sprint,Norway,France,Germany,
Biathalon,Mens,12.5km Pursuit,Norway,France,Sweden,
Biathalon,Womens,10km Pursuit,Norway,France,Germany,
Biathalon,Mens,4x7.5km Relay,Norway,Germany,France,
Biathalon,Womens,4x6km Relay,Norway,Germany,Sweden,
Biathalon,Mens,15km Mass Start,Norway,France,Sweden,
Biathalon,Womens,12.5km Mass Start,Norway,France,Germany,
Bobsleigh,Mens,4 person,Germany,United States,Canada,
Bobsleigh,Mens,2 person,Germany,United States,Switzerland,
Bobsleigh,Womens,2 person,United States,Germany,Canada,
Bobsleigh,Womens,Monobob,United States,Germany,Canada,
Cross Country Skiing,Womens,10km + 10km Skiathlon,Norway,Sweden,Finland,6
Cross Country Skiing,Mens,10km + 10km Skiathlon,Norway,Sweden,Finland,4
Cross Country Skiing,Womens,Sprint Classic,Norway,Sweden,United States,
Cross Country Skiing,Mens,Sprint Classic,Norway,Sweden,France,
Cross Country Skiing,Womens,10km Interval Start Free,Norway,Sweden,Finland,
Cross Country Skiing,Mens,10km Interval Start Free,Norway,Sweden,Finland,
Cross Country Skiing,Womens,4x7.5km Relay,Norway,Sweden,Finland,
Cross Country Skiing,Mens,4x7.5km Relay,Norway,Sweden,Finland,
Cross Country Skiing,Womens,Team Sprint,Norway,Sweden,Switzerland,
Cross Country Skiing,Mens,Team Sprint,Norway,Sweden,France,
Cross Country Skiing,Womens,50km Mass Start Classic,Norway,Sweden,Finland,
Cross Country Skiing,Mens,50km Mass Start Classic,Norway,Sweden,Finland,
Curling,Mens,,Great Britain,Switzerland,Canada,
Curling,Womens,,Canada,Switzerland,South Korea,
Curling,Mixed,Doubles,Canada,Switzerland,Italy,
Figure Skating,Mens,Singles,United States,Japan,France,8
Figure Skating,Womens,Singles,Japan,United States,South Korea,
Figure Skating,Mixed,Pairs,Japan,China,Canada,
Figure Skating,Mixed,Ice Dance,United States,Canada,France,
Figure Skating,Mixed,Team,United States,Japan,Canada,
Freestyle Skiing,Womens,Freeski Slopestyle,China,Canada,Switzerland,6
Freestyle Skiing,Mens,Freeski Slopestyle,United States,Canada,Switzerland,
Freestyle Skiing,Womens,Moguls,Australia,United States,Japan,
Freestyle Skiing,Mens,Moguls,Japan,Canada,Sweden,
Freestyle Skiing,Womens,Dual Moguls,Australia,United States,Canada,
Freestyle Skiing,Mens,Dual Moguls,Japan,Canada,Sweden,
Freestyle Skiing,Womens,Freeski Big Air,China,Switzerland,Canada,
Freestyle Skiing,Mens,Freeski Big Air,United States,Switzerland,Norway,
Freestyle Skiing,Womens,Aerials,China,United States,Australia,
Freestyle Skiing,Mens,Aerials,China,United States,Switzerland,
Freestyle Skiing,Womens,Freeski Halfpipe,China,Canada,United States,
Freestyle Skiing,Mens,Freeski Halfpipe,United States,Canada,New Zealand,
Freestyle Skiing,Womens,Ski Cross,Switzerland,Canada,Sweden,
Freestyle Skiing,Mens,Ski Cross,Switzerland,Canada,France,
Freestyle Skiing,Mixed,Aerials,China,Canada,United States,
Ice Hockey,Mens,,Canada,United States,Sweden,
Ice Hockey,Womens,,United States,Canada,Finland,
Luge,Mens,Singles,Germany,Austria,Italy,20
Luge,Mens,Doubles,Germany,Austria,Latvia,
Luge,Womens,Singles,Germany,Austria,United States,
Luge,Womens,Doubles,Germany,Austria,United States,
Luge,Mixed,Team Relay,Germany,Austria,Latvia,
Nordic combined,Mens,Individual Normal Hill,Norway,Germany,Austria,
Nordic combined,Mens,Individual Large Hill,Norway,Germany,Austria,
Nordic combined,Mens,Team Large Hill,Norway,Germany,Austria,
Short Track Speed Skating,Mens,500m,Canada,China,South Korea,
Short Track Speed Skating,Womens,500m,Netherlands,South Korea,Canada,
Short Track Speed Skating,Mens,1000m,South Korea,China,Canada,
Short Track Speed Skating,Womens,1000m,Netherlands,South Korea,China,
Short Track Speed Skating,Mens,1500m,South Korea,China,Netherlands,
Short Track Speed Skating,Womens,1500m,Netherlands,South Korea,Canada,
Short Track Speed Skating,Mens,Relay,South Korea,Canada,China,
Short Track Speed Skating,Womens,Relay,Netherlands,South Korea,Canada,
Short Track Speed Skating,Mixed,Relay,Netherlands,South Korea,Canada,
Skeleton,Mens,Singles,Great Britain,Germany,South Korea,
Skeleton,Womens,Singles,Canada,United States,Germany,
Skeleton,Mixed,Team,Germany,Great Britain,Canada,
Ski Jumping,Mens,Normal Hill,Austria,Germany,Poland,4
Ski Jumping,Womens,Normal Hill,Slovenia,Austria,Germany,2
Ski Jumping,Mens,Large Hill,Austria,Germany,Slovenia,
Ski Jumping,Womens,Large Hill,Slovenia,Austria,Japan,
Ski Jumping,Mixed,Super Team,Austria,Germany,Slovenia,
Ski Jumping,Mixed,Team,Austria,Germany,Slovenia,
Ski Mountaineering,Mens,Sprint,Italy,Switzerland,France,
Ski Mountaineering,Womens,Sprint,Italy,Switzerland,France,
Ski Mountaineering,Mixed,Relay,Italy,Switzerland,France,
Snowboarding,Mens,Parallel Giant Slalom,Austria,Italy,Slovenia,4
Snowboarding,Mens,Cross,Austria,Italy,Canada,
Snowboarding,Mens,Halfpipe,Japan,United States,Australia,
Snowboarding,Mens,Slopestyle,Canada,Japan,United States,
Snowboarding,Mens,Big Air,Japan,Canada,United States,4
