Full scoring log, read results/guess/points as: MEDAL/RESULT/GUESS(POINTS)
Dan: Scored 4 from [alpine skiing, mens, super-g]: G/Switzerland/Canada(0), S/United States/United States(4), B/Switzerland/Austria(0), BONUS(0)
Dan: Scored 6 from [figure skating, mixed, ice dance]: G/France/United States(2), S/United States/Finland(0), B/Canada/Canada(4), BONUS(0)
Dan: Scored 4 from [freestyle skiing, womens, moguls]: G/United States/Canada(0), S/United States/United States(4), B/France/Sweden(0), BONUS(0)
Dan: Scored 6 from [speed skating, mens, 1000m]: G/United States/Canada(0), S/Netherlands/United States(2), B/China/China(4), BONUS(0)
Brinton: Scored 4 from [alpine skiing, mens, super-g]: G/Switzerland/Switzerland(4), S/United States/Italy(0), B/Switzerland/Austria(0), BONUS(0)
Brinton: Scored 4 from [biathalon, womens, 15km individual]: G/France/France(4), S/France/Sweden(0), B/Bulgaria/Germany(0), BONUS(0)
Brinton: Scored 6 from [figure skating, mixed, ice dance]: G/France/United States(2), S/United States/Canada(2), B/Canada/France(2), BONUS(0)
Brinton: Scored 4 from [freestyle skiing, womens, moguls]: G/United States/United States(4), S/United States/Canada(0), B/France/Australia(0), BONUS(0)
Brinton: Scored 8 from [luge, mens, doubles]: G/Italy/Germany(2), S/Austria/Austria(4), B/Germany/Italy(2), BONUS(0)
Brinton: Scored 6 from [luge, womens, doubles]: G/Italy/Germany(2), S/Germany/Austria(2), B/Austria/Italy(2), BONUS(0)
Brinton: Scored 6 from [nordic combined, mens, individual normal hill]: G/Norway/Norway(4), S/Austria/Germany(0), B/Finland/Austria(2), BONUS(0)
Brinton: Scored 8 from [speed skating, mens, 1000m]: G/United States/United States(4), S/Netherlands/Netherlands(4), B/China/Japan(0), BONUS(0)
Aidan: Scored 6 from [alpine skiing, mens, super-g]: G/Switzerland/Switzerland(4), S/United States/Switzerland(2), B/Switzerland/Italy(0), BONUS(0)
Aidan: Scored 8 from [biathalon, womens, 15km individual]: G/France/France(4), S/France/France(4), B/Bulgaria/France(0), BONUS(0)
Aidan: Scored 8 from [figure skating, mixed, ice dance]: G/France/Canada(2), S/United States/United States(4), B/Canada/France(2), BONUS(0)
Aidan: Scored 2 from [freestyle skiing, womens, moguls]: G/United States/Australia(0), S/United States/France(2), B/France/United Arab Emirates(0), BONUS(0)
Aidan: Scored 8 from [luge, mens, doubles]: G/Italy/Germany(2), S/Austria/Austria(4), B/Germany/Italy(2), BONUS(0)
Aidan: Scored 4 from [luge, womens, doubles]: G/Italy/Austria(2), S/Germany/Italy(2), B/Austria/United States(0), BONUS(0)
Aidan: Scored 8 from [nordic combined, mens, individual normal hill]: G/Norway/Norway(4), S/Austria/Austria(4), B/Finland/Austria(0), BONUS(0)
Aidan: Scored 8 from [speed skating, mens, 1000m]: G/United States/United States(4), S/Netherlands/Netherlands(4), B/China/Poland(0), BONUS(0)
