Full scoring log, read results/guess/points as: MEDAL/RESULT/GUESS(POINTS)
Dan: Scored 4 from [cross country skiing, mens, 10km interval start free]: G/Norway/Norway(4), S/France/Canada(0), B/Norway/Denmark(0), BONUS(0)
Dan: Scored 4 from [figure skating, mixed, team]: G/United States/United States(4), S/Japan/Finland(0), B/Italy/Canada(0), BONUS(0)
Dan: Scored 4 from [snowboarding, mens, halfpipe]: G/Japan/United States(0), S/Australia/Canada(0), B/Japan/Japan(4), BONUS(0)
Brinton: Scored 4 from [biathalon, mens, 10km sprint]: G/France/Norway(2), S/Norway/France(2), B/Norway/Sweden(0), BONUS(0)
Brinton: Scored 4 from [cross country skiing, mens, 10km interval start free]: G/Norway/Norway(4), S/France/Sweden(0), B/Norway/Finland(0), BONUS(0)
Brinton: Scored 2 from [figure skating, mens, singles]: G/Kazakhstan/Japan(2), S/Japan/United States(0), B/Japan/France(0), BONUS(0)
Brinton: Scored 8 from [figure skating, mixed, team]: G/United States/United States(4), S/Japan/Japan(4), B/Italy/Canada(0), BONUS(0)
Brinton: Scored 8 from [skeleton, mens, singles]: G/Great Britain/Great Britain(4), S/Germany/Germany(4), B/Germany/Latvia(0), BONUS(0)
Brinton: Scored 4 from [snowboarding, mens, halfpipe]: G/Japan/United States(0), S/Australia/Japan(2), B/Japan/Australia(2), BONUS(0)
Brinton: Scored 4 from [speed skating, mens, 10000m]: G/Czech Republic/Norway(0), S/Poland/Netherlands(2), B/Netherlands/Czech Republic(2), BONUS(0)
Aidan: Scored 20 from [biathalon, mens, 10km sprint]: G/France/France(4), S/Norway/Norway(4), B/Norway/Norway(4), BONUS(8)
Aidan: Scored 8 from [cross country skiing, mens, 10km interval start free]: G/Norway/Norway(4), S/France/Norway(0), B/Norway/Norway(4), BONUS(0)
Aidan: Scored 4 from [figure skating, mens, singles]: G/Kazakhstan/United States(0), S/Japan/Japan(4), B/Japan/France(0), BONUS(0)
Aidan: Scored 8 from [figure skating, mixed, team]: G/United States/United States(4), S/Japan/Japan(4), B/Italy/Canada(0), BONUS(0)
Aidan: Scored 2 from [skeleton, mens, singles]: G/Great Britain/China(0), S/Germany/Great Britain(0), B/Germany/Great Britain(2), BONUS(0)
Aidan: Scored 8 from [snowboarding, mens, halfpipe]: G/Japan/Australia(2), S/Australia/Japan(2), B/Japan/Japan(4), BONUS(0)
Aidan: Scored 2 from [snowboarding, womens, cross]: G/Australia/Italy(2), S/Czech Republic/Great Britain(0), B/Italy/France(0), BONUS(0)
Aidan: Scored 4 from [speed skating, mens, 10000m]: G/Czech Republic/United States(0), S/Poland/Norway(0), B/Netherlands/Netherlands(4), BONUS(0)
Nick: Scored 8 from [biathalon, mens, 10km sprint]: G/France/France(4), S/Norway/Italy(0), B/Norway/Norway(4), BONUS(0)
Nick: Scored 6 from [cross country skiing, mens, 10km interval start free]: G/Norway/Norway(4), S/France/Norway(2), B/Norway/Sweden(0), BONUS(0)
Nick: Scored 8 from [figure skating, mens, singles]: G/Kazakhstan/United States(0), S/Japan/Japan(4), B/Japan/Japan(4), BONUS(0)
Nick: Scored 20 from [figure skating, mixed, team]: G/United States/United States(4), S/Japan/Japan(4), B/Italy/Italy(4), BONUS(8)
Nick: Scored 4 from [skeleton, mens, singles]: G/Great Britain/Great Britain(4), S/Germany/China(0), B/Germany/Great Britain(0), BONUS(0)
Nick: Scored 8 from [snowboarding, mens, halfpipe]: G/Japan/Australia(2), S/Australia/Japan(2), B/Japan/Japan(4), BONUS(0)
Nick: Scored 4 from [snowboarding, womens, cross]: G/Australia/France(0), S/Czech Republic/Canada(0), B/Italy/Italy(4), BONUS(0)
Nick: Scored 2 from [speed skating, mens, 10000m]: G/Czech Republic/Netherlands(0), S/Poland/Netherlands(2), B/Netherlands/Norway(0), BONUS(0)
Yang: Scored 4 from [biathalon, mens, 10km sprint]: G/France/Norway(2), S/Norway/France(2), B/Norway/Germany(0), BONUS(0)
Yang: Scored 4 from [cross country skiing, mens, 10km interval start free]: G/Norway/Norway(4), S/France/Sweden(0), B/Norway/Finland(0), BONUS(0)
Yang: Scored 4 from [figure skating, mens, singles]: G/Kazakhstan/United States(0), S/Japan/Japan(4), B/Japan/France(0), BONUS(0)
Yang: Scored 8 from [figure skating, mixed, team]: G/United States/United States(4), S/Japan/Japan(4), B/Italy/Canada(0), BONUS(0)
Yang: Scored 8 from [skeleton, mens, singles]: G/Great Britain/Great Britain(4), S/Germany/Germany(4), B/Germany/South Korea(0), BONUS(0)
Yang: Scored 6 from [snowboarding, mens, halfpipe]: G/Japan/Japan(4), S/Australia/United States(0), B/Japan/Australia(2), BONUS(0)
Yang: Scored 4 from [snowboarding, womens, cross]: G/Australia/United States(0), S/Czech Republic/France(0), B/Italy/Italy(4), BONUS(0)
Yang: Scored 2 from [speed skating, mens, 10000m]: G/Czech Republic/Netherlands(2), S/Poland/Sweden(0), B/Netherlands/Norway(0), BONUS(0)
Riley: Scored 4 from [biathalon, mens, 10km sprint]: G/France/Norway(2), S/Norway/Germany(0), B/Norway/France(2), BONUS(0)
Riley: Scored 4 from [cross country skiing, mens, 10km interval start free]: G/Norway/Norway(4), S/France/Sweden(0), B/Norway/Finland(0), BONUS(0)
Riley: Scored 2 from [figure skating, mens, singles]: G/Kazakhstan/Japan(2), S/Japan/United States(0), B/Japan/France(0), BONUS(0)
Riley: Scored 8 from [figure skating, mixed, team]: G/United States/United States(4), S/Japan/Japan(4), B/Italy/Canada(0), BONUS(0)
Riley: Scored 8 from [skeleton, mens, singles]: G/Great Britain/Great Britain(4), S/Germany/Germany(4), B/Germany/Latvia(0), BONUS(0)
Riley: Scored 4 from [snowboarding, mens, halfpipe]: G/Japan/United States(0), S/Australia/Japan(2), B/Japan/Australia(2), BONUS(0)
Riley: Scored 2 from [speed skating, mens, 10000m]: G/Czech Republic/Netherlands(2), S/Poland/Canada(0), B/Netherlands/China(0), BONUS(0)
Chip: Scored 8 from [biathalon, mens, 10km sprint]: G/France/France(4), S/Norway/Norway(4), B/Norway/Germany(0), BONUS(0)
Chip: Scored 4 from [cross country skiing, mens, 10km interval start free]: G/Norway/Norway(4), S/France/Canada(0), B/Norway/United States(0), BONUS(0)
Chip: Scored 8 from [figure skating, mixed, team]: G/United States/United States(4), S/Japan/Canada(0), B/Italy/Italy(4), BONUS(0)
Chip: Scored 4 from [skeleton, mens, singles]: G/Great Britain/Germany(2), S/Germany/Great Britain(2), B/Germany/Canada(0), BONUS(0)
Chip: Scored 4 from [snowboarding, womens, cross]: G/Australia/Canada(0), S/Czech Republic/United States(0), B/Italy/Italy(4), BONUS(0)
Will: Scored 6 from [biathalon, mens, 10km sprint]: G/France/Norway(2), S/Norway/Switzerland(0), B/Norway/Norway(4), BONUS(0)
Will: Scored 2 from [cross country skiing, mens, 10km interval start free]: G/Norway/Austria(0), S/France/United States(0), B/Norway/France(2), BONUS(0)
Will: Scored 4 from [figure skating, mens, singles]: G/Kazakhstan/United States(0), S/Japan/Japan(4), B/Japan/Canada(0), BONUS(0)
Will: Scored 4 from [figure skating, mixed, team]: G/United States/Japan(2), S/Japan/United States(2), B/Italy/France(0), BONUS(0)
Will: Scored 2 from [skeleton, mens, singles]: G/Great Britain/Germany(2), S/Germany/Jamacia(0), B/Germany/Jamacia(0), BONUS(0)
Will: Scored 2 from [speed skating, mens, 10000m]: G/Czech Republic/Netherlands(2), S/Poland/United States(0), B/Netherlands/Austria(0), BONUS(0)

