Event,Gender,Class,Gold_Country,Silver_Country,Bronze_Country
Alpine Skiing,Mens,Downhill,Switzerland,Italy,Italy
Alpine Skiing,Mens,Super-G,Switzerland,United States,Switzerland
Alpine Skiing,Mens,Giant Slalom,Brazil,Switzerland,Switzerland
Alpine Skiing,Mens,Slalom,Switzerland,Austria,Switzerland
Alpine Skiing,Mens,Team Combined,,,
Alpine Skiing,Womens,Downhill,United States,Germany,Italy
Alpine Skiing,Womens,Super-G,Italy,France,Austria
Alpine Skiing,Womens,Giant Slalom,,,
Alpine Skiing,Womens,Slalom,,,
Alpine Skiing,Womens,Team Combined,Austria,Germany,United States
Biathalon,Mixed,4x6km Relay,France,Italy,Germany
Biathalon,Mens,20km Individual,Norway,France,Norway
Biathalon,Womens,15km Individual,France,France,Bulgaria
Biathalon,Mens,10km Sprint,France,Norway,Norway
Biathalon,Womens,7.5km Sprint,Norway,France,France
Biathalon,Mens,12.5km Pursuit,,,
Biathalon,Womens,10km Pursuit,,,
Biathalon,Mens,4x7.5km Relay,,,
Biathalon,Womens,4x6km Relay,,,
Biathalon,Mens,15km Mass Start,,,
Biathalon,Womens,12.5km Mass Start,,,
Bobsleigh,Mens,4 person,,,
Bobsleigh,Mens,2 person,,,
Bobsleigh,Womens,2 person,,,
Bobsleigh,Womens,Monobob,,,
Cross Country Skiing,Womens,10km + 10km Skiathlon,Sweden,Sweden,Norway
Cross Country Skiing,Mens,10km + 10km Skiathlon,Norway,France,Norway
Cross Country Skiing,Womens,Sprint Classic,Sweden,Sweden,Sweden
Cross Country Skiing,Mens,Sprint Classic,Norway,United States,Norway
Cross Country Skiing,Womens,10km Interval Start Free,Sweden,Sweden,United States
Cross Country Skiing,Mens,10km Interval Start Free,Norway,France,Norway
Cross Country Skiing,Womens,4x7.5km Relay,Norway,Sweden,Finland
Cross Country Skiing,Mens,4x7.5km Relay,,,
Cross Country Skiing,Womens,Team Sprint,,,
Cross Country Skiing,Mens,Team Sprint,,,
Cross Country Skiing,Womens,50km Mass Start Classic,,,
Cross Country Skiing,Mens,50km Mass Start Classic,,,
Curling,Mens,,,,
Curling,Womens,,,,
Curling,Mixed,Doubles,Sweden,United States,Italy
Figure Skating,Mens,Singles,Kazakhstan,Japan,Japan
Figure Skating,Womens,Singles,,,
Figure Skating,Mixed,Pairs,,,
Figure Skating,Mixed,Ice Dance,France,United States,Canada
Figure Skating,Mixed,Team,United States,Japan,Italy
Freestyle Skiing,Womens,Freeski Slopestyle,Switzerland,China,Canada
Freestyle Skiing,Mens,Freeski Slopestyle,Norway,United States,New Zealand
Freestyle Skiing,Womens,Moguls,United States,United States,France
Freestyle Skiing,Mens,Moguls,Australia,Canada,Japan
Freestyle Skiing,Womens,Dual Moguls,Australia,United States,United States
Freestyle Skiing,Mens,Dual Moguls,,,
Freestyle Skiing,Womens,Freeski Big Air,,,
Freestyle Skiing,Mens,Freeski Big Air,,,
Freestyle Skiing,Womens,Aerials,,,
Freestyle Skiing,Mens,Aerials,,,
Freestyle Skiing,Womens,Freeski Halfpipe,,,
Freestyle Skiing,Mens,Freeski Halfpipe,,,
Freestyle Skiing,Womens,Ski Cross,,,
Freestyle Skiing,Mens,Ski Cross,,,
Freestyle Skiing,Mixed,Aerials,,,
Ice Hockey,Mens,,,,
Ice Hockey,Womens,,,,
Luge,Mens,Singles,Germany,Austria,Italy
Luge,Mens,Doubles,Italy,Austria,Germany
Luge,Womens,Singles,Germany,Latvia,United States
Luge,Womens,Doubles,Italy,Germany,Austria
Luge,Mixed,Team Relay,Germany,Austria,Italy
Nordic combined,Mens,Individual Normal Hill,Norway,Austria,Finland
Nordic combined,Mens,Individual Large Hill,,,
Nordic combined,Mens,Team Large Hill,,,
Short Track Speed Skating,Mens,500m,,,
Short Track Speed Skating,Womens,500m,Netherlands,Italy,Canada
Short Track Speed Skating,Mens,1000m,Netherlands,China,South Korea
Short Track Speed Skating,Womens,1000m,,,
Short Track Speed Skating,Mens,1500m,,,
Short Track Speed Skating,Womens,1500m,,,
Short Track Speed Skating,Mens,Relay,,,
Short Track Speed Skating,Womens,Relay,,,
Short Track Speed Skating,Mixed,Relay,Italy,Canada,Belgium
Skeleton,Mens,Singles,Great Britain,Germany,Germany
Skeleton,Womens,Singles,Slovenia,Japan,Poland
Skeleton,Mixed,Team,,,
Ski Jumping,Mens,Normal Hill,Germany,Poland,"Japan, Switzerland"
Ski Jumping,Womens,Normal Hill,Norway,Slovenia,Japan
Ski Jumping,Mens,Large Hill,,,
Ski Jumping,Womens,Large Hill,,,
Ski Jumping,Mixed,Super Team,,,
Ski Jumping,Mixed,Team,Slovenia,Norway,Japan
Ski Mountaineering,Mens,Sprint,,,
Ski Mountaineering,Womens,Sprint,,,
Ski Mountaineering,Mixed,Relay,,,
Snowboarding,Mens,Parallel Giant Slalom,Austria,South Korea,Bulgaria
Snowboarding,Mens,Cross,Austria,Canada,Austria
Snowboarding,Mens,Halfpipe,Japan,Australia,Japan
Snowboarding,Mens,Slopestyle,,,
Snowboarding,Mens,Big Air,Japan,Japan,China
Snowboarding,Womens,Parallel Giant Slalom,Czech Republic,Austria,Italy
Snowboarding,Womens,Cross,Australia,Czech Republic,Italy
Snowboarding,Womens,Halfpipe,South Korea,United States,Japan
