Dan: Scored 0 from [alpine skiing, mens, giant slalom]: G/Brazil/Canada(0), S/Switzerland/United States(0), B/Switzerland/Austria(0), BONUS(0)
Dan: Scored 0 from [biathalon, womens, 7.5km sprint]: G/Norway/United States(0), S/France/Canada(0), B/France/Finland(0), BONUS(0)
Dan: Scored 4 from [cross country skiing, womens, 4x7.5km relay]: G/Norway/Norway(4), S/Sweden/Canada(0), B/Finland/Denmark(0), BONUS(0)
Dan: Scored 4 from [freestyle skiing, womens, dual moguls]: G/Australia/Canada(0), S/United States/United States(4), B/United States/Sweden(0), BONUS(0)
Dan: Scored 0 from [skeleton, womens, singles]: G/Slovenia/Canada(0), S/Japan/United States(0), B/Poland/Finland(0), BONUS(0)
Dan: Scored 4 from [speed skating, mens, 500m]: G/United States/Canada(2), S/Netherlands/United States(2), B/Canada/China(0), BONUS(0)
Dan: Scored 0 from [speed skating, mens, 1500m]: G/Netherlands/Canada(0), S/South Korea/United States(0), B/Latvia/China(0), BONUS(0)
Brinton: Scored 2 from [alpine skiing, mens, giant slalom]: G/Brazil/Switzerland(2), S/Switzerland/Norway(0), B/Switzerland/France(0), BONUS(0)
Brinton: Scored 2 from [biathalon, womens, 7.5km sprint]: G/Norway/France(2), S/France/Sweden(0), B/France/Germany(0), BONUS(0)
Brinton: Scored 4 from [cross country skiing, womens, 4x7.5km relay]: G/Norway/Norway(4), S/Sweden/Norway(0), B/Finland/Germany(0), BONUS(0)
Brinton: Scored 4 from [freestyle skiing, womens, dual moguls]: G/Australia/United States(2), S/United States/Canada(0), B/United States/Australia(2), BONUS(0)
Brinton: Scored 0 from [skeleton, womens, singles]: G/Slovenia/Germany(0), S/Japan/Netherlands(0), B/Poland/Canada(0), BONUS(0)
Brinton: Scored 8 from [speed skating, mens, 500m]: G/United States/United States(4), S/Netherlands/Netherlands(4), B/Canada/Poland(0), BONUS(0)
Brinton: Scored 2 from [speed skating, mens, 1500m]: G/Netherlands/United States(0), S/South Korea/Netherlands(2), B/Latvia/Norway(0), BONUS(0)
Aidan: Scored 20 from [alpine skiing, mens, giant slalom]: G/Brazil/Brazil(4), S/Switzerland/Switzerland(4), B/Switzerland/Switzerland(4), BONUS(8)
Aidan: Scored 8 from [biathalon, womens, 7.5km sprint]: G/Norway/France(0), S/France/France(4), B/France/France(4), BONUS(0)
Aidan: Scored 8 from [cross country skiing, womens, 4x7.5km relay]: G/Norway/Sweden(0), S/Sweden/Sweden(4), B/Finland/Finland(4), BONUS(0)
Aidan: Scored 4 from [freestyle skiing, womens, dual moguls]: G/Australia/Australia(4), S/United States/France(0), B/United States/United Arab Emirates(0), BONUS(0)
Aidan: Scored 0 from [skeleton, womens, singles]: G/Slovenia/Belgium(0), S/Japan/Germany(0), B/Poland/Germany(0), BONUS(0)
Aidan: Scored 8 from [speed skating, mens, 500m]: G/United States/United States(4), S/Netherlands/Netherlands(4), B/Canada/Poland(0), BONUS(0)
Aidan: Scored 2 from [speed skating, mens, 1500m]: G/Netherlands/United States(0), S/South Korea/Netherlands(2), B/Latvia/Poland(0), BONUS(0)
Nick: Scored 2 from [alpine skiing, mens, giant slalom]: G/Brazil/Switzerland(2), S/Switzerland/Norway(0), B/Switzerland/France(0), BONUS(0)
Nick: Scored 2 from [biathalon, womens, 7.5km sprint]: G/Norway/France(2), S/France/Germany(0), B/France/Italy(0), BONUS(0)
Nick: Scored 4 from [cross country skiing, womens, 4x7.5km relay]: G/Norway/Sweden(2), S/Sweden/Norway(2), B/Finland/United States(0), BONUS(0)
Nick: Scored 0 from [freestyle skiing, womens, dual moguls]: G/Australia/France(0), S/United States/Canada(0), B/United States/Japan(0), BONUS(0)
Nick: Scored 0 from [skeleton, womens, singles]: G/Slovenia/Belgium(0), S/Japan/Austria(0), B/Poland/United States(0), BONUS(0)
Nick: Scored 6 from [speed skating, mens, 500m]: G/United States/Netherlands(0), S/Netherlands/Netherlands(4), B/Canada/United States(2), BONUS(0)
Nick: Scored 4 from [speed skating, mens, 1500m]: G/Netherlands/Netherlands(4), S/South Korea/Norway(0), B/Latvia/Netherlands(0), BONUS(0)
Yang: Scored 2 from [alpine skiing, mens, giant slalom]: G/Brazil/Switzerland(2), S/Switzerland/Austria(0), B/Switzerland/Norway(0), BONUS(0)
Yang: Scored 8 from [biathalon, womens, 7.5km sprint]: G/Norway/Norway(4), S/France/France(4), B/France/Germany(0), BONUS(0)
Yang: Scored 20 from [cross country skiing, womens, 4x7.5km relay]: G/Norway/Norway(4), S/Sweden/Sweden(4), B/Finland/Finland(4), BONUS(8)
Yang: Scored 8 from [freestyle skiing, womens, dual moguls]: G/Australia/Australia(4), S/United States/United States(4), B/United States/Canada(0), BONUS(0)
Yang: Scored 0 from [skeleton, womens, singles]: G/Slovenia/Canada(0), S/Japan/United States(0), B/Poland/Germany(0), BONUS(0)
Yang: Scored 2 from [speed skating, mens, 500m]: G/United States/Netherlands(2), S/Netherlands/Japan(0), B/Canada/China(0), BONUS(0)
