Full scoring log, read results/guess/points as: MEDAL/RESULT/GUESS(POINTS)
Dan: Scored 4 from [alpine skiing, womens, giant slalom]: G/Italy/United States(0), S/Norway/Canada(0), B/Sweden/Sweden(4), BONUS(0)
Dan: Scored 0 from [biathalon, mens, 12.5km pursuit]: G/Sweden/United States(0), S/Norway/Canada(0), B/France/Finland(0), BONUS(0)
Dan: Scored 4 from [biathalon, womens, 10km pursuit]: G/Italy/United States(0), S/Norway/Canada(0), B/Finland/Finland(4), BONUS(0)
Dan: Scored 4 from [cross country skiing, mens, 4x7.5km relay]: G/Norway/Norway(4), S/France/Canada(0), B/Italy/Denmark(0), BONUS(0)
Dan: Scored 4 from [freestyle skiing, mens, dual moguls]: G/Canada/Canada(4), S/Japan/United States(0), B/Australia/Sweden(0), BONUS(0)
Dan: Scored 0 from [skeleton, mixed, team]: G/Great Britain/Canada(0), S/Germany/United States(0), B/Germany/Finland(0), BONUS(0)
Dan: Scored 0 from [ski jumping, womens, large hill]: G/Norway/Canada(0), S/Norway/China(0), B/Slovenia/United States(0), BONUS(0)
Dan: Scored 0 from [snowboarding, mixed, team cross]: G/Great Britain/United States(0), S/Italy/Canada(0), B/France/Japan(0), BONUS(0)
Dan: Scored 0 from [speed skating, womens, 500m]: G/Netherlands/Canada(0), S/Netherlands/United States(0), B/Japan/China(0), BONUS(0)
Brinton: Scored 4 from [alpine skiing, womens, giant slalom]: G/Italy/United States(0), S/Sweden/Sweden(4), B/Norway/Switzerland(0), BONUS(0)
Brinton: Scored 6 from [biathalon, mens, 12.5km pursuit]: G/Sweden/France(2), S/Norway/Norway(4), B/France/Italy(0), BONUS(0)
Brinton: Scored 0 from [biathalon, womens, 10km pursuit]: G/Italy/France(0), S/Norway/Sweden(0), B/Finland/Germany(0), BONUS(0)
Brinton: Scored 4 from [cross country skiing, mens, 4x7.5km relay]: G/Norway/Norway(4), S/France/Sweden(0), B/Italy/Finland(0), BONUS(0)
Brinton: Scored 6 from [freestyle skiing, mens, dual moguls]: G/Canada/Canada(4), S/Japan/United States(0), B/Australia/Japan(2), BONUS(0)
Brinton: Scored 4 from [skeleton, mixed, team]: G/Great Britain/Germany(2), S/Germany/Great Britain(2), B/Germany/Canada(0), BONUS(0)
Brinton: Scored 2 from [ski jumping, womens, large hill]: G/Norway/Slovenia(2), S/Norway/Japan(0), B/Slovenia/Austria(0), BONUS(0)
Brinton: Scored 4 from [snowboarding, mixed, team cross]: G/Great Britain/United States(0), S/Italy/Canada(0), B/France/France(4), BONUS(0)
Brinton: Scored 8 from [speed skating, womens, 500m]: G/Netherlands/Netherlands(4), S/Netherlands/United States(0), B/Japan/Japan(4), BONUS(0)
Aidan: Scored 2 from [alpine skiing, womens, giant slalom]: G/Italy/United States(0), S/Norway/United States(0), B/Sweden/Italy(2), BONUS(0)
Aidan: Scored 6 from [biathalon, mens, 12.5km pursuit]: G/Sweden/France(2), S/Norway/Norway(4), B/France/Norway(0), BONUS(0)
Aidan: Scored 0 from [biathalon, womens, 10km pursuit]: G/Italy/France(0), S/Norway/France(0), B/Finland/France(0), BONUS(0)
Aidan: Scored 4 from [cross country skiing, mens, 4x7.5km relay]: G/Norway/Norway(4), S/France/Norway(0), B/Italy/Norway(0), BONUS(0)
Aidan: Scored 8 from [freestyle skiing, mens, dual moguls]: G/Canada/Canada(4), S/Japan/Japan(4), B/Australia/Sweden(0), BONUS(0)
Aidan: Scored 4 from [skeleton, mixed, team]: G/Great Britain/Germany(2), S/Germany/Great Britain(2), B/Germany/China(0), BONUS(0)
Aidan: Scored 2 from [ski jumping, womens, large hill]: G/Norway/Slovenia(2), S/Norway/Austria(0), B/Slovenia/Canada(0), BONUS(0)
Aidan: Scored 2 from [snowboarding, mixed, team cross]: G/Great Britain/Canada(0), S/Italy/Austria(0), B/France/Italy(2), BONUS(0)
Aidan: Scored 8 from [speed skating, womens, 500m]: G/Netherlands/Netherlands(4), S/Netherlands/Netherlands(4), B/Japan/Netherlands(0), BONUS(0)
Nick: Scored 0 from [alpine skiing, womens, giant slalom]: G/Italy/United States(0), S/Norway/United States(0), B/Sweden/Switzerland(0), BONUS(0)
Nick: Scored 4 from [biathalon, mens, 12.5km pursuit]: G/Sweden/France(2), S/Norway/Italy(0), B/France/Sweden(2), BONUS(0)
Nick: Scored 2 from [biathalon, womens, 10km pursuit]: G/Italy/France(0), S/Norway/Germany(0), B/Finland/Italy(2), BONUS(0)
Nick: Scored 4 from [cross country skiing, mens, 4x7.5km relay]: G/Norway/Norway(4), S/France/Sweden(0), B/Italy/Finland(0), BONUS(0)
Nick: Scored 6 from [freestyle skiing, mens, dual moguls]: G/Canada/Canada(4), S/Japan/France(0), B/Australia/Japan(2), BONUS(0)
Nick: Scored 8 from [skeleton, mixed, team]: G/Great Britain/Great Britain(4), S/Germany/Germany(4), B/Germany/United States(0), BONUS(0)
Nick: Scored 2 from [ski jumping, womens, large hill]: G/Norway/Slovenia(2), S/Norway/Japan(0), B/Slovenia/Germany(0), BONUS(0)
Nick: Scored 4 from [snowboarding, mixed, team cross]: G/Great Britain/France(2), S/Italy/Great Britain(2), B/France/Switzerland(0), BONUS(0)
Nick: Scored 4 from [speed skating, womens, 500m]: G/Netherlands/Japan(2), S/Netherlands/United States(0), B/Japan/Netherlands(2), BONUS(0)
Yang: Scored 4 from [alpine skiing, womens, giant slalom]: G/Italy/United States(0), S/Norway/Switzerland(0), B/Sweden/Sweden(4), BONUS(0)
Yang: Scored 6 from [biathalon, mens, 12.5km pursuit]: G/Sweden/Norway(2), S/Norway/France(2), B/France/Sweden(2), BONUS(0)
Yang: Scored 2 from [biathalon, womens, 10km pursuit]: G/Italy/Norway(2), S/Norway/France(0), B/Finland/Germany(0), BONUS(0)
Yang: Scored 4 from [cross country skiing, mens, 4x7.5km relay]: G/Norway/Norway(4), S/France/Sweden(0), B/Italy/Finland(0), BONUS(0)
Yang: Scored 4 from [freestyle skiing, mens, dual moguls]: G/Canada/Japan(2), S/Japan/Canada(2), B/Australia/Sweden(0), BONUS(0)
Yang: Scored 4 from [skeleton, mixed, team]: G/Great Britain/Germany(2), S/Germany/Great Britain(2), B/Germany/Canada(0), BONUS(0)
Yang: Scored 2 from [ski jumping, womens, large hill]: G/Norway/Slovenia(2), S/Norway/Austria(0), B/Slovenia/Japan(0), BONUS(0)
Yang: Scored 4 from [snowboarding, mixed, team cross]: G/Great Britain/United States(0), S/Italy/Italy(4), B/France/Canada(0), BONUS(0)
Yang: Scored 6 from [speed skating, womens, 500m]: G/Netherlands/Japan(2), S/Netherlands/Netherlands(4), B/Japan/United States(0), BONUS(0)
Riley: Scored 4 from [alpine skiing, womens, giant slalom]: G/Italy/Switzerland(0), S/Sweden/Sweden(4), B/Norway/Switzerland(0), BONUS(0)
Riley: Scored 6 from [biathalon, mens, 12.5km pursuit]: G/Sweden/Norway(2), S/Norway/Germany(0), B/France/France(4), BONUS(0)
Riley: Scored 2 from [biathalon, womens, 10km pursuit]: G/Italy/Norway(2), S/Norway/Germany(0), B/Finland/France(0), BONUS(0)
Riley: Scored 4 from [cross country skiing, mens, 4x7.5km relay]: G/Norway/Norway(4), S/France/Sweden(0), B/Italy/Finland(0), BONUS(0)
Riley: Scored 6 from [freestyle skiing, mens, dual moguls]: G/Canada/Canada(4), S/Japan/United States(0), B/Australia/Japan(2), BONUS(0)
Riley: Scored 4 from [skeleton, mixed, team]: G/Great Britain/Germany(2), S/Germany/Great Britain(2), B/Germany/Canada(0), BONUS(0)
Riley: Scored 0 from [ski jumping, womens, large hill]: G/Norway/Germany(0), S/Norway/Japan(0), B/Slovenia/Austria(0), BONUS(0)
Riley: Scored 4 from [snowboarding, mixed, team cross]: G/Great Britain/United States(0), S/Italy/Canada(0), B/France/France(4), BONUS(0)
Riley: Scored 4 from [speed skating, womens, 500m]: G/Netherlands/Netherlands(4), S/Netherlands/Canada(0), B/Japan/China(0), BONUS(0)
Chip: Scored 2 from [alpine skiing, womens, giant slalom]: G/Italy/United States(0), S/Norway/Canada(0), B/Sweden/Italy(2), BONUS(0)
Chip: Scored 6 from [biathalon, mens, 12.5km pursuit]: G/Sweden/France(2), S/Norway/Norway(4), B/France/Germany(0), BONUS(0)
Chip: Scored 2 from [biathalon, womens, 10km pursuit]: G/Italy/Norway(2), S/Norway/France(0), B/Finland/Germany(0), BONUS(0)
Chip: Scored 4 from [cross country skiing, mens, 4x7.5km relay]: G/Norway/Norway(4), S/France/Canada(0), B/Italy/United States(0), BONUS(0)
Chip: Scored 0 from [freestyle skiing, mens, dual moguls]: G/Canada/United States(0), S/Japan/New Zealand(0), B/Australia/Italy(0), BONUS(0)
Chip: Scored 4 from [skeleton, mixed, team]: G/Great Britain/Germany(2), S/Germany/Great Britain(2), B/Germany/Canada(0), BONUS(0)
Chip: Scored 2 from [ski jumping, womens, large hill]: G/Norway/United States(0), S/Norway/Canada(0), B/Slovenia/Norway(2), BONUS(0)
Chip: Scored 2 from [snowboarding, mixed, team cross]: G/Great Britain/Canada(0), S/Italy/United States(0), B/France/Italy(2), BONUS(0)
Chip: Scored 8 from [speed skating, womens, 500m]: G/Netherlands/Netherlands(4), S/Netherlands/United States(0), B/Japan/Japan(4), BONUS(0)
Will: Scored 6 from [alpine skiing, womens, giant slalom]: G/Italy/Sweden(2), S/Sweden/Switzerland(0), B/Norway/Norway(4), BONUS(0)
Will: Scored 8 from [biathalon, mens, 12.5km pursuit]: G/Sweden/Germany(0), S/Norway/Norway(4), B/France/France(4), BONUS(0)
Will: Scored 2 from [biathalon, womens, 10km pursuit]: G/Italy/Norway(2), S/Norway/Sweden(0), B/Finland/Austria(0), BONUS(0)
Will: Scored 2 from [cross country skiing, mens, 4x7.5km relay]: G/Norway/United States(0), S/France/China(0), B/Italy/France(2), BONUS(0)
Will: Scored 4 from [freestyle skiing, mens, dual moguls]: G/Canada/Canada(4), S/Japan/France(0), B/Australia/Germany(0), BONUS(0)
Will: Scored 4 from [skeleton, mixed, team]: G/Great Britain/Sweden(0), S/Germany/Germany(4), B/Germany/Poland(0), BONUS(0)
Will: Scored 2 from [ski jumping, womens, large hill]: G/Norway/Great Britain(0), S/Norway/United States(0), B/Slovenia/Norway(2), BONUS(0)
Will: Scored 0 from [snowboarding, mixed, team cross]: G/Great Britain/Canada(0), S/Italy/United States(0), B/France/Switzerland(0), BONUS(0)
Will: Scored 4 from [speed skating, womens, 500m]: G/Netherlands/Netherlands(4), S/Netherlands/Canada(0), B/Japan/Switzerland(0), BONUS(0)

