Full scoring log, read results/guess/points as: MEDAL/RESULT/GUESS(POINTS)
Dan: Scored 0 from [alpine skiing, mens, slalom]: G/Switzerland/Canada(0), S/Austria/Denmark(0), B/Norway/United States(0), BONUS(0)
Dan: Scored 0 from [alpine skiing, mens, team combined]: G/Switzerland/Canada(0), S/Austria/United States(0), B/Switzerland/Sweden(0), BONUS(0)
Dan: Scored 0 from [bobsleigh, womens, monobob]: G/United States/Jamacia(0), S/Germany/Estonia(0), B/United States/Bosnia and Herzegovina(0), BONUS(0)
Dan: Scored 4 from [freestyle skiing, womens, freeski big air]: G/Canada/Canada(4), S/China/United States(0), B/Italy/Sweden(0), BONUS(0)
Brinton: Scored 4 from [alpine skiing, mens, slalom]: G/Switzerland/Norway(2), S/Austria/France(0), B/Norway/Switzerland(2), BONUS(0)
Brinton: Scored 4 from [alpine skiing, mens, team combined]: G/Switzerland/Switzerland(4), S/Austria/United States(0), B/Switzerland/Italy(0), BONUS(0)
Brinton: Scored 8 from [bobsleigh, womens, monobob]: G/United States/United States(4), S/Germany/Germany(4), B/United States/Canada(0), BONUS(0)
Brinton: Scored 2 from [freestyle skiing, womens, freeski big air]: G/Canada/United States(0), S/China/Canada(2), B/Italy/Switzerland(0), BONUS(0)
Aidan: Scored 2 from [alpine skiing, mens, slalom]: G/Switzerland/Brazil(0), S/Austria/Switzerland(0), B/Norway/Switzerland(2), BONUS(0)
Aidan: Scored 4 from [alpine skiing, mens, team combined]: G/Switzerland/Switzerland(4), S/Austria/France(0), B/Switzerland/Italy(0), BONUS(0)
Aidan: Scored 4 from [bobsleigh, womens, monobob]: G/United States/Canada(0), S/Germany/United States(2), B/United States/Germany(2), BONUS(0)
Aidan: Scored 4 from [freestyle skiing, womens, freeski big air]: G/Canada/Switzerland(0), S/China/France(0), B/Italy/Italy(4), BONUS(0)
Nick: Scored 2 from [alpine skiing, mens, slalom]: G/Switzerland/United States(0), S/Austria/Norway(2), B/Norway/Italy(0), BONUS(0)
Nick: Scored 4 from [alpine skiing, mens, team combined]: G/Switzerland/Switzerland(4), S/Austria/Italy(0), B/Switzerland/United States(0), BONUS(0)
Nick: Scored 8 from [bobsleigh, womens, monobob]: G/United States/United States(4), S/Germany/Germany(4), B/United States/Switzerland(0), BONUS(0)
Nick: Scored 2 from [freestyle skiing, womens, freeski big air]: G/Canada/China(2), S/China/Switzerland(0), B/Italy/United States(0), BONUS(0)
Yang: Scored 6 from [alpine skiing, mens, slalom]: G/Switzerland/Austria(2), S/Austria/Norway(2), B/Norway/Switzerland(2), BONUS(0)
Yang: Scored 8 from [alpine skiing, mens, team combined]: G/Switzerland/Switzerland(4), S/Austria/Austria(4), B/Switzerland/France(0), BONUS(0)
Yang: Scored 8 from [bobsleigh, womens, monobob]: G/United States/United States(4), S/Germany/Germany(4), B/United States/Canada(0), BONUS(0)
Yang: Scored 4 from [freestyle skiing, womens, freeski big air]: G/Canada/China(2), S/China/Switzerland(0), B/Italy/Canada(2), BONUS(0)
Riley: Scored 2 from [alpine skiing, mens, slalom]: G/Switzerland/United States(0), S/Austria/France(0), B/Norway/Switzerland(2), BONUS(0)
Riley: Scored 4 from [alpine skiing, mens, team combined]: G/Switzerland/Switzerland(4), S/Austria/United States(0), B/Switzerland/Italy(0), BONUS(0)
Riley: Scored 6 from [bobsleigh, womens, monobob]: G/United States/Germany(2), S/Germany/Switzerland(0), B/United States/United States(4), BONUS(0)
Riley: Scored 2 from [freestyle skiing, womens, freeski big air]: G/Canada/United States(0), S/China/Canada(2), B/Italy/Switzerland(0), BONUS(0)
Chip: Scored 2 from [alpine skiing, mens, slalom]: G/Switzerland/Austria(2), S/Austria/Canada(0), B/Norway/United States(0), BONUS(0)
Chip: Scored 0 from [alpine skiing, mens, team combined]: G/Switzerland/Canada(0), S/Austria/United States(0), B/Switzerland/United States(0), BONUS(0)
Chip: Scored 4 from [bobsleigh, womens, monobob]: G/United States/Germany(2), S/Germany/United States(2), B/United States/Jamacia(0), BONUS(0)
Chip: Scored 4 from [freestyle skiing, womens, freeski big air]: G/Canada/Switzerland(0), S/China/China(4), B/Italy/Great Britain(0), BONUS(0)
Will: Scored 8 from [alpine skiing, mens, slalom]: G/Switzerland/Sweden(0), S/Austria/Austria(4), B/Norway/Norway(4), BONUS(0)
Will: Scored 6 from [alpine skiing, mens, team combined]: G/Switzerland/Switzerland(4), S/Austria/Sweden(0), B/Switzerland/Austria(2), BONUS(0)
Will: Scored 6 from [bobsleigh, womens, monobob]: G/United States/United States(4), S/Germany/Canada(0), B/United States/Germany(2), BONUS(0)
Will: Scored 0 from [freestyle skiing, womens, freeski big air]: G/Canada/Great Britain(0), S/China/United States(0), B/Italy/Finland(0), BONUS(0)

