Event,Gender,Class,Gold_Country,Silver_Country,Bronze_Country
Alpine Skiing,Mens,Downhill,,,
Alpine Skiing,Mens,Super-G,,,
Alpine Skiing,Mens,Giant Slalom,,,
Alpine Skiing,Mens,Slalom,,,
Alpine Skiing,Mens,Team Combined,,,
Alpine Skiing,Womens,Downhill,,,
Alpine Skiing,Womens,Super-G,,,
Alpine Skiing,Womens,Giant Slalom,,,
Alpine Skiing,Womens,Slalom,,,
Alpine Skiing,Womens,Team Combined,,,
Biathalon,Mixed,4x6km Relay,,,
Biathalon,Mens,20km Individual,,,
Biathalon,Womens,15km Individual,,,
Biathalon,Mens,10km Sprint,,,
Biathalon,Womens,7.5km Sprint,,,
Biathalon,Mens,12.5km Pursuit,,,
Biathalon,Womens,10km Pursuit,,,
Biathalon,Mens,4x7.5km Relay,,,
Biathalon,Womens,4x6km Relay,,,
Biathalon,Mens,15km Mass Start,,,
Biathalon,Womens,12.5km Mass Start,,,
Bobsleigh,Mens,4 person,,,
Bobsleigh,Mens,2 person,,,
Bobsleigh,Womens,4 person,,,
Bobsleigh,Womens,2 person,,,
Cross Country Skiing,Womens,10km + 10km Skiathlon,,,
Cross Country Skiing,Mens,10km + 10km Skiathlon,,,
Cross Country Skiing,Womens,Sprint Classic,,,
Cross Country Skiing,Mens,Sprint Classic,,,
Cross Country Skiing,Womens,10km Interval Start Free,,,
Cross Country Skiing,Mens,10km Interval Start Free,,,
Cross Country Skiing,Womens,4x7.5km Relay,,,
Cross Country Skiing,Mens,4x7.5km Relay,,,
Cross Country Skiing,Womens,Team Sprint,,,
Cross Country Skiing,Mens,Team Sprint,,,
Cross Country Skiing,Womens,50km Mass Start Classic,,,
Cross Country Skiing,Mens,50km Mass Start Classic,,,
Curling,Mens,,,,
Curling,Womens,,,,
Curling,Mixed,Doubles,,,
Figure Skating,Mens,Singles,,,
Figure Skating,Womens,Singles,,,
Figure Skating,Mixed,Pairs,,,
Figure Skating,Mixed,Ice Dance,,,
Figure Skating,Mixed,Team,,,
Freestyle Skiing,Womens,Freeski Slopestyle,,,
Freestyle Skiing,Mens,Freeski Slopestyle,,,
Freestyle Skiing,Womens,Moguls,,,
Freestyle Skiing,Mens,Moguls,,,
Freestyle Skiing,Womens,Dual Moguls,,,
Freestyle Skiing,Mens,Dual Moguls,,,
Freestyle Skiing,Womens,Freeski Big Air,,,
Freestyle Skiing,Mens,Freeski Big Air,,,
Freestyle Skiing,Womens,Aerials,,,
Freestyle Skiing,Mens,Aerials,,,
Freestyle Skiing,Womens,Freeski Halfpipe,,,
Freestyle Skiing,Mens,Freeski Halfpipe,,,
Freestyle Skiing,Womens,Ski Cross,,,
Freestyle Skiing,Mens,Ski Cross,,,
Freestyle Skiing,Mixed,Aerials,,,
Ice Hockey,Mens,,,,
Ice Hockey,Womens,,,,
Luge,Mens,Singles,,,
Luge,Mens,Doubles,,,
Luge,Womens,Singles,,,
Luge,Womens,Doubles,,,
Luge,Mixed,Team Relay,,,
Nordic combined,Mens,Individual Normal Hill,,,
Nordic combined,Mens,Individual Large Hill,,,
Nordic combined,Mens,Team Large Hill,,,
Short Track Speed Skating,Mens,500m,,,
Short Track Speed Skating,Womens,500m,,,
Short Track Speed Skating,Mens,1000m,,,
Short Track Speed Skating,Womens,1000m,,,
Short Track Speed Skating,Mens,1500m,,,
Short Track Speed Skating,Womens,1500m,,,
Short Track Speed Skating,Mens,Relay,,,
Short Track Speed Skating,Womens,Relay,,,
Short Track Speed Skating,Mixed,Relay,,,
Skeleton,Mens,Singles,,,
Skeleton,Womens,Singles,,,
Skeleton,Mixed,Team,,,
Ski Jumping,Mens,Normal Hill,,,
Ski Jumping,Womens,Normal Hill,,,
Ski Jumping,Mens,Large Hill,,,
Ski Jumping,Womens,Large Hill,,,
Ski Jumping,Mixed,Super Team,,,
Ski Jumping,Mixed,Team,,,
Ski Mountaineering,Mens,Sprint,,,
Ski Mountaineering,Womens,Sprint,,,
Ski Mountaineering,Mixed,Relay,,,
Snowboarding,Mens,Parallel Giant Slalom,,,
Snowboarding,Mens,Cross,,,
Snowboarding,Mens,Halfpipe,,,
Snowboarding,Mens,Slopestyle,,,
Snowboarding,Mens,Big Air,,,
Snowboarding,Womens,Parallel Giant Slalom,,,
Snowboarding,Womens,Cross,,,
Snowboarding,Womens,Halfpipe,,,
Snowboarding,Womens,Slopestyle,,,
Snowboarding,Womens,Big Air,,,
Snowboarding,Mixed,Team Cross,,,
Speed Skating,Mens,500m,,,
Speed Skating,Mens,1000m,,,
Speed Skating,Mens,1500m,,,
Speed Skating,Mens,5000m,,,
Speed Skating,Mens,10000m,,,
Speed Skating,Mens,Mass Start,,,
Speed Skating,Mens,Team Pursuit,,,
Speed Skating,Womens,500m,,,
Speed Skating,Womens,1000m,,,
Speed Skating,Womens,1500m,,,
Speed Skating,Womens,3000m,,,
Speed Skating,Womens,5000m,,,
Speed Skating,Womens,Mass Start,,,
Speed Skating,Womens,Team Pursuit,,,
